,Date,Low,High,Close,Open
384,2001-05-10,125.77,127.5,126.02,127.26
383,2001-05-09,125.06,126.55,125.65,125.25
382,2001-05-08,125.56,127.1,126.18,126.86
381,2001-05-07,126.23,127.38,126.24,126.86
380,2001-05-04,123.44,127.35,127.34,123.65
379,2001-05-03,124.22,126.15,125.21,126.13
378,2001-05-02,126.0,127.69,126.82,127.41
377,2001-05-01,124.6,127.15,127.05,125.07
376,2001-04-30,124.67,127.27,126.66,126.45
375,2001-04-27,124.2,125.84,125.78,124.92
374,2001-04-26,123.5,125.22,123.72,123.73
373,2001-04-25,120.95,123.67,123.17,121.42
372,2001-04-24,121.1,123.65,121.58,122.52
371,2001-04-23,121.91,123.89,122.24,123.65
370,2001-04-20,123.66,125.4,124.5,124.9
369,2001-04-19,123.58,125.84,125.65,124.25
368,2001-04-18,120.69,126.0,124.0,121.06
367,2001-04-17,117.02,119.66,119.26,117.31
366,2001-04-16,116.91,118.89,117.6,118.29
365,2001-04-12,115.96,118.94,118.85,116.3
364,2001-04-11,116.14,118.99,116.73,118.78
363,2001-04-10,115.17,117.75,116.65,115.45
362,2001-04-09,112.78,114.99,114.56,114.0
361,2001-04-06,112.06,114.4,113.3,113.99
360,2001-04-05,112.5,115.49,115.05,113.3
359,2001-04-04,109.3,112.1,110.85,110.57
358,2001-04-03,110.06,114.15,110.39,113.98
357,2001-04-02,113.8,117.38,114.2,116.3
356,2001-03-30,114.5,116.69,116.69,115.55
355,2001-03-29,112.14,116.5,115.48,114.7
354,2001-03-28,114.9,116.95,115.04,116.9
353,2001-03-27,115.28,118.65,118.31,115.62
352,2001-03-26,114.77,116.27,115.94,115.7
351,2001-03-23,111.5,114.66,114.48,113.25
350,2001-03-22,108.04,112.6,111.12,112.02
349,2001-03-21,111.9,115.26,112.26,114.18
348,2001-03-20,114.11,118.46,114.2,117.9
347,2001-03-19,114.82,117.69,117.35,115.76
346,2001-03-16,114.81,117.4,115.01,117.13
345,2001-03-15,117.36,118.86,117.68,118.45
344,2001-03-14,115.75,119.29,117.65,117.05
343,2001-03-13,117.53,120.44,120.02,119.4
342,2001-03-12,117.75,122.5,118.08,122.34
341,2001-03-09,123.11,126.1,123.36,126.1
340,2001-03-08,126.14,127.24,127.12,126.6
339,2001-03-07,125.76,127.04,126.98,126.9
338,2001-03-06,125.49,127.75,126.08,126.35
337,2001-03-05,123.81,124.78,124.74,124.15
336,2001-03-02,122.3,125.65,123.61,122.5
